,GISJOIN,Accessories,Active Life,American (New),American (Traditional),Apartments,Appliances,Appliances & Repair,Arts & Crafts,Arts & Entertainment,Asian Fusion,Auto Detailing,Auto Glass Services,Auto Parts & Supplies,Auto Repair,Automotive,Bagels,Bakeries,Banks & Credit Unions,Barbeque,Barbers,Bars,Beauty & Spas,"Beer, Wine & Spirits",Bikes,Body Shops,"Books, Mags, Music & Video",Bookstores,Breakfast & Brunch,Buffets,Burgers,Cafes,Car Dealers,Car Rental,Car Wash,Carpet Cleaning,Caterers,Chicken Wings,Chinese,Chiropractors,Churches,Cinema,Coffee & Tea,Contractors,Convenience Stores,Cosmetic Dentists,Cosmetics & Beauty Supply,Day Spas,Delis,Dentists,Department Stores,Desserts,Diners,Discount Store,Dive Bars,Doctors,Donuts,Drugstores,Dry Cleaning & Laundry,Education,Electronics,Ethnic Food,Event Planning & Services,Eyelash Service,Eyewear & Opticians,Family Practice,Fashion,Fast Food,Financial Services,Fitness & Instruction,Florists,Flowers & Gifts,Food,Furniture Stores,Gas & Service Stations,General Dentistry,Gluten-Free,Golf,Greek,Grocery,Gyms,Hair Removal,Hair Salons,Hair Stylists,Hardware Stores,Health & Medical,Health Markets,Heating & Air Conditioning/HVAC,Hobby Shops,Home & Garden,Home Cleaning,Home Decor,Home Services,Hot Dogs,Hotels,Hotels & Travel,IT Services & Computer Repair,Ice Cream & Frozen Yogurt,Indian,Insurance,Italian,Japanese,Jewelry,Juice Bars & Smoothies,Landscaping,Latin American,Local Services,Lounges,Makeup Artists,Massage,Massage Therapy,Medical Centers,Mediterranean,Men's Clothing,Mexican,Middle Eastern,Mobile Phones,Movers,Music Venues,Nail Salons,Nightlife,Notaries,Nurseries & Gardening,Oil Change Stations,Optometrists,Parks,Party & Event Planning,Performing Arts,Pet Boarding/Pet Sitting,Pet Groomers,Pet Services,Pet Stores,Pet Training,Pets,Photographers,Pizza,Plumbing,Printing Services,Professional Services,Public Services & Government,Pubs,Real Estate,Real Estate Services,Religious Organizations,Restaurants,Salad,Sandwiches,Seafood,Self Storage,Sewing & Alterations,Shipping Centers,Shoe Stores,Shopping,Skin Care,Southern,Specialty Food,Specialty Schools,Sporting Goods,Sports Bars,Sports Wear,Steakhouses,Sushi Bars,Tanning,Tattoo,Tex-Mex,Thai,Thrift Stores,Tires,Tobacco Shops,Toy Stores,Trainers,Transportation,Urgent Care,"Used, Vintage & Consignment",Vape Shops,Vegetarian,Venues & Event Spaces,Veterinarians,Vietnamese,Wine Bars,Women's Clothing,Yoga
10,G0400130040516,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,G0400130040517,,,4.25,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,G0400130040518,,,,3.75,,,,,2.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,2.625,,2.625,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.625,,,,,,,,,,,,,,,,,,,,,
13,G0400130040519,,4.05263157895,3.46875,3.42857142857,,,,,,,,,,,,,,,3.42857142857,,3.88235294118,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.15789473684,,,,,,,,4.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,3.88235294118,,,,,,,,,,,,,,5.0,,,,,,,,,,3.42857142857,,,,,,,,4.38461538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,G0400130040520,,4.6,,3.78571428571,,,,,,,,,,,,,3.16666666667,,,,3.78571428571,,,,,,,,,,3.78571428571,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333,,,,,4.6,,,,,2.33333333333,,,,,3.22222222222,,,,,4.6,,3.33333333333,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,3.3125,,,,,,3.78571428571,,,,,,,,,,,,,,,3.4347826087,,,,,,5.0,5.0,,3.42857142857,,2.33333333333,,,,,,3.33333333333,,,,,,,,,,,,3.3125,,,,,,,,,,,,4.6,,,3.78571428571,,
15,G0400130040521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,3.8,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,G0400130040522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,G0400130040523,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,G0400130040525,,,,4.0,,,,,,,,,,,,,,,,,4.0,3.66666666667,,,,,,,,,,,,,,,,,,,,,,,,,3.66666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
19,G0400130040526,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,G0400130040527,,2.66666666667,,,,,,,,,,,,2.90909090909,2.90909090909,,,,,,3.2,3.71875,,,,,,4.07792207792,,,,,,,,,1.6,3.0,,,,4.0,,3.71428571429,,3.5,,3.21428571429,4.5,,,,,,2.75,,3.5,1.0,,,,,,,2.75,,3.0,,3.66666666667,,,3.8,,,,,2.16666666667,,,,,3.6,,3.8,3.52631578947,,,,3.8,,,,,,,,,,,1.6,,,,,,2.6,,,,3.66666666667,,,,,,,,,3.72,3.2,3.28571428571,,2.90909090909,3.375,,,,,,,,,4.375,,1.6,,3.28571428571,,,,,,,3.63709677419,3.0,4.02469135802,,,,3.28571428571,,4.05263157895,,,,,,3.2,,,,,,,,,2.90909090909,4.0,,,,,,5.0,,,4.375,,,,
21,G0400130040528,,3.0,3.45833333333,3.425,,,,,,,,,,,,,2.8,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,,,3.18181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.03636363636,,4.0,,,,,,,3.64516129032,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,G0400130040529,,,,,,,,,2.91666666667,,,,,,,,,,,,,3.14285714286,,,,,,3.08333333333,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333,,,,,,,3.71428571429,,,,,1.68421052632,,,,,2.91666666667,,,,,,,,,,3.75,,,3.5,,,,,,,,,3.71428571429,3.71428571429,,,,,,,,,,,,,,,,3.5,,,,,,,,2.33333333333,,,,,,,,,,,,,,,,3.82352941176,,,,,,,,,2.79166666667,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333,,,,,,,,,
23,G0400130040530,,,3.62295081967,2.46153846154,,,,,,,,,,,3.8,,4.33333333333,,,4.27272727273,3.57142857143,3.97142857143,,,,,,4.22222222222,,4.04,,,,,,,2.85714285714,3.0,,,,3.57894736842,,,,,,3.98136645963,5.0,,,,,,,,,,,,,,,,,,,,,,,3.96774193548,,,,,,,,,,3.46153846154,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.57142857143,,,,,,,,,,,,,,,2.85714285714,,,,,,,,,3.67142857143,,3.07142857143,,,,,,,,,4.83333333333,,,,,,,,,,,,,,,,,,,,,,,,,,
24,G0400130040531,3.0,,2.90476190476,2.87804878049,,3.5,,2.94117647059,,,,,,4.41176470588,3.9375,3.35294117647,,2.33333333333,3.09803921569,3.6,2.69230769231,3.16666666667,4.25925925926,4.58333333333,,,,3.30508474576,2.86666666667,3.43137254902,3.05555555556,,,,,3.61538461538,2.58823529412,3.02777777778,,,,3.325,4.5,3.33333333333,1.0,3.75,,3.46296296296,1.69230769231,2.44,4.53191489362,,,,,,3.0,,,4.25,,3.55357142857,,4.14285714286,,3.02173913043,3.52631578947,2.33333333333,,,2.75,3.67772511848,2.75,3.4,1.0,,,3.51785714286,3.51020408163,,,,,3.5,1.69230769231,,,3.0,3.25,,2.33333333333,3.8,,,2.5,,4.26470588235,,,3.74305555556,3.61344537815,3.3125,,,,4.2,,,,,,3.2,4.07692307692,3.45098039216,,3.28571428571,,,2.68421052632,2.69230769231,,3.5,4.41176470588,,,,,,2.83333333333,2.83333333333,2.83333333333,2.83333333333,2.38888888889,,3.77922077922,,,,,,3.54545454545,,,3.39766081871,,3.0303030303,,,,,4.25,3.33333333333,,3.25,,,4.46153846154,2.76744186047,3.0,2.51111111111,3.75524475524,,,2.6,4.04938271605,,4.41176470588,,,,2.5,,,,,,1.5,,,4.66666666667,
25,G0400130050603,,,4.14285714286,,,,,,,,,,,3.18181818182,3.18181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,G0400130050604,,4.5,,,,,,,,,,,,,3.88888888889,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88888888889,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85714285714,,,,,,,,,,,,,,,,3.85714285714,,,,,,,,,,,,,,,,,,,,,
27,G0400130050605,,4.25,,3.6976744186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,3.25,,,,,,,,,,4.32352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32352941176,,,,,,,,,,,,,,,,,,,3.6976744186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,G0400130050606,,,3.82926829268,3.0,,,,,5.0,,,,,,4.0,,,,,,3.96296296296,,,,,,,,,,2.28571428571,,,,,,3.0,,,,,3.75510204082,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,3.67924528302,,4.0,,,,,2.75,,,,,,,,,,,,,,,,,,,,,3.96296296296,,,,,,,,,,,,,,,,,,5.0,,4.01754385965,,,,,,,5.0,4.66666666667,,4.66666666667,,4.66666666667,4.66666666667,,3.96296296296,,,,,,,,,3.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96296296296,,
29,G0400130050607,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,1.58333333333,,,,,,,,,,3.5,,4.2,,,,,,,,,,,,,,,,,,,,1.58333333333,1.58333333333,,,,,,,,,,,,,,,,,,,2.4375,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,2.2380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
30,G0400130050608,,,3.0,3.32291666667,,,,,,,,,,3.09090909091,3.19047619048,,,,3.0,,2.75675675676,3.33333333333,,,,,,3.67796610169,3.18181818182,2.6,,,,,,,,2.53333333333,,,,3.42857142857,,3.0,,3.0,,4.33333333333,,2.54545454545,,,,,,5.0,3.0,,,,,,,,,2.54545454545,2.98360655738,,,,,3.76811594203,,3.3,,,,,3.0,,,,,,,,,,,,,2.75,,,,,3.42857142857,,,,,,3.75,,,,,,,,,,,3.26666666667,,2.54545454545,,,3.41666666667,2.75675675676,,,2.6,,,,,,4.66666666667,4.66666666667,4.66666666667,4.66666666667,4.68421052632,,3.26923076923,,,,,,,,,3.11764705882,,3.67647058824,,,,,,2.82352941176,,,,,,2.0,,,,,,,,,2.6,,,,,,,3.66666666667,,,4.6875,,,,
31,G0400130050609,,,,,,,,,,,,,4.18181818182,,4.18181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26315789474,,,,,,,,,,,,,,2.26315789474,,,,,,,,,,,2.57142857143,4.0,,,,2.26315789474,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92857142857,,4.0,,,,,,,,,,,,,,,,,,2.33333333333,,,4.18181818182,,,,,2.4,,,,,,,,,
32,G0400130050610,,,,,,,,,,,,,,,2.0,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90909090909,,,,,,,,,2.90909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,G0400130050611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33333333333,,,,,,,2.33333333333,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,G0400130050701,,1.25,,3.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16666666667,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33333333333,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.84615384615,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,G0400130050702,,,,4.17391304348,,,,,,,,,,,5.0,,,,4.17647058824,,,,,,,,,,,,4.25,,,,,,2.85714285714,,,,,4.17391304348,,,,,,,,,,,,,,,,,,,4.75,3.33333333333,,,,,3.16666666667,,,,,4.25925925926,,5.0,,,,,,,,,,,,,,,,,,,,3.33333333333,3.33333333333,,,,,2.85714285714,,,,,,,,,,,,,,2.77272727273,,,,,,,,,,,,,,,,,,,,,3.67741935484,,,,,,,,,3.67123287671,,4.17391304348,,,,,,,,,4.75,,,,,2.69230769231,,,,,,,,,,,,,,,,,,,,,
36,G0400130060801,,,2.52380952381,,,,,,,,,,2.75,1.5,2.7,,,,,4.90909090909,2.0,4.95454545455,,,,,,,4.06666666667,1.90909090909,,,,,,,,,,,,,3.6875,,,,,,,,,,,,1.4,,,3.36363636364,,,,3.92857142857,,,,3.2,1.5,3.0,,3.0,3.0,3.83333333333,,,,,,,,,,5.0,,,1.4,,4.57142857143,,3.5,,,3.95652173913,2.0,3.92857142857,3.92857142857,,3.83333333333,,3.0,3.07142857143,,,,,,3.5,,,,,,,,3.57575757576,,1.0,,,,2.0,,3.5,1.5,,,,,,,,,,3.66666666667,,3.94736842105,,4.33333333333,4.33333333333,2.09090909091,,,,,3.16949152542,,,,,,,,2.69230769231,,,,,,2.0,,,,,,,,,1.5,,,,,1.4,3.2,,,,3.66666666667,,,,
37,G0400130060901,,4.33333333333,3.16666666667,,,1.0,,,,,,,,,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,3.0,,,,,,,,,,5.0,,4.33333333333,,,3.0,,,,,,,,4.33333333333,,,,,,,,4.5,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,4.05263157895,,,,,3.14285714286,,,,,,,,,,,,,,,,3.73469387755,,,,,,5.0,5.0,,3.77027027027,,,,,,,,2.92857142857,,,,,,,,,,3.0,4.5,,,,,,4.5,4.33333333333,,,,,,,,,,,
38,G0400130060902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,1.9,,,,,,,,,,,,5.0,,,,1.9,,,,,,2.26923076923,,,,,,,2.26923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,2.8,,2.8,,3.4,,,,,,,,,3.73267326733,,3.4,,,,,,1.9,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
39,G0400130060903,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,3.5,,3.5,,,,,,,,,,,3.5,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,3.5,,,,,,,,,,,4.66666666667,,,,,,,,,,,,,,,,,,
40,G0400130060904,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
