,GISJOIN,Accessories,Active Life,American (New),American (Traditional),Apartments,Appliances,Appliances & Repair,Arts & Crafts,Arts & Entertainment,Asian Fusion,Auto Detailing,Auto Glass Services,Auto Parts & Supplies,Auto Repair,Automotive,Bagels,Bakeries,Banks & Credit Unions,Barbeque,Barbers,Bars,Beauty & Spas,"Beer, Wine & Spirits",Bikes,Body Shops,"Books, Mags, Music & Video",Bookstores,Breakfast & Brunch,Buffets,Burgers,Cafes,Car Dealers,Car Rental,Car Wash,Carpet Cleaning,Caterers,Chicken Wings,Chinese,Chiropractors,Churches,Cinema,Coffee & Tea,Contractors,Convenience Stores,Cosmetic Dentists,Cosmetics & Beauty Supply,Day Spas,Delis,Dentists,Department Stores,Desserts,Diners,Discount Store,Dive Bars,Doctors,Donuts,Drugstores,Dry Cleaning & Laundry,Education,Electronics,Ethnic Food,Event Planning & Services,Eyelash Service,Eyewear & Opticians,Family Practice,Fashion,Fast Food,Financial Services,Fitness & Instruction,Florists,Flowers & Gifts,Food,Furniture Stores,Gas & Service Stations,General Dentistry,Gluten-Free,Golf,Greek,Grocery,Gyms,Hair Removal,Hair Salons,Hair Stylists,Hardware Stores,Health & Medical,Health Markets,Heating & Air Conditioning/HVAC,Hobby Shops,Home & Garden,Home Cleaning,Home Decor,Home Services,Hot Dogs,Hotels,Hotels & Travel,IT Services & Computer Repair,Ice Cream & Frozen Yogurt,Indian,Insurance,Italian,Japanese,Jewelry,Juice Bars & Smoothies,Landscaping,Latin American,Local Services,Lounges,Makeup Artists,Massage,Massage Therapy,Medical Centers,Mediterranean,Men's Clothing,Mexican,Middle Eastern,Mobile Phones,Movers,Music Venues,Nail Salons,Nightlife,Notaries,Nurseries & Gardening,Oil Change Stations,Optometrists,Parks,Party & Event Planning,Performing Arts,Pet Boarding/Pet Sitting,Pet Groomers,Pet Services,Pet Stores,Pet Training,Pets,Photographers,Pizza,Plumbing,Printing Services,Professional Services,Public Services & Government,Pubs,Real Estate,Real Estate Services,Religious Organizations,Restaurants,Salad,Sandwiches,Seafood,Self Storage,Sewing & Alterations,Shipping Centers,Shoe Stores,Shopping,Skin Care,Southern,Specialty Food,Specialty Schools,Sporting Goods,Sports Bars,Sports Wear,Steakhouses,Sushi Bars,Tanning,Tattoo,Tex-Mex,Thai,Thrift Stores,Tires,Tobacco Shops,Toy Stores,Trainers,Transportation,Urgent Care,"Used, Vintage & Consignment",Vape Shops,Vegetarian,Venues & Event Spaces,Veterinarians,Vietnamese,Wine Bars,Women's Clothing,Yoga
10,G0400130040516,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,G0400130040517,,,6.75,,,,,,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,G0400130040518,,,,7.25,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,6.25,,,,,,,,,,,,4.5,,4.5,,,,,,,,,,,,,,,,,,,,,,,,5.41666666667,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,
13,G0400130040519,,8.92105263158,6.125,15.4761904762,,,,,,,,,,,,,,,15.4761904762,,5.82352941176,12.0,,,,,,,,,5.33333333333,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,8.125,,,,,,,,,,,,,,,7.63157894737,,,,,,,,12.0,,,,,,,,,,8.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,5.82352941176,,,,,,,,,,,,,,8.0,,,,,,,,,,9.58928571429,,,,,,,,6.69230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,G0400130040520,,6.1,,9.35714285714,,,,,,,,,,,,,3.16666666667,,,,9.35714285714,,,,,,,,,,9.35714285714,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,6.1,,,,,2.33333333333,,,,,3.77777777778,,,,,6.1,,5.0,,,,,,,,,,,,,6.66666666667,,,,,,,,,,,,,,,,,,,,,,6.9375,,,,,,9.35714285714,,,,,,,,,,,,,,,5.73913043478,,,,,,6.66666666667,6.66666666667,,6.80357142857,,2.33333333333,,,,,,5.0,,,,,,,,,,,,6.9375,,,,,,,,,,,,6.1,,,9.35714285714,,
15,G0400130040521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,5.8,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,G0400130040522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,G0400130040523,,,6.46666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,G0400130040525,,,,6.375,,,,,,,,,,,,,,,,,6.375,5.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.375,,,,,,,,,,,,,,,,,,,,,,,,6.375,,,,,,,,,,,,,,6.375,,,,,,,,,,,,,,,,,,,,,,,
19,G0400130040526,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,G0400130040527,,3.44444444444,,,,,,,,,,,,6.45454545455,6.45454545455,,,,,,7.6,5.84375,,,,,,11.2987012987,,,,,,,,,2.2,5.5,,,,9.66666666667,,5.14285714286,,5.0,,6.28571428571,10.25,,,,,,2.75,,5.0,1.33333333333,,,,,,,2.75,,3.75,,3.66666666667,,,6.5,,,,,3.33333333333,,,,,4.9,,5.6,5.15789473684,,,,5.6,,,,,,,,,,,2.2,,,,,,3.8,,,,3.66666666667,,,,,,,,,5.84,7.6,4.85714285714,,6.45454545455,4.375,,,,,,,,,5.75,,2.2,,4.85714285714,,,,,,,9.12096774194,9.25,11.1975308642,,,,4.85714285714,,5.73684210526,,,,,,7.6,,,,,,,,,6.45454545455,6.83333333333,,,,,,5.0,,,5.75,,,,
21,G0400130040528,,4.5,12.25,6.725,,,,,,,,,,,,,3.53333333333,,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,2.8,,,,,4.31818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,7.25454545455,,4.0,,,,,,,7.87096774194,,,,,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,G0400130040529,,,,,,,,,7.83333333333,,,,,,,,,,,,,4.28571428571,,,,,,4.41666666667,,1.86666666667,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333,,,,,,,4.14285714286,,,,,2.42105263158,,,,,7.83333333333,,,,,,,,,,5.0,,,5.125,,,,,,,,,4.14285714286,4.14285714286,,,,,,,,,,,,,,,,5.125,,,,,,,,3.33333333333,,,,,,,,,,,,,,,,8.0,,,,,,,,,4.89583333333,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333,,,,,,,,,
23,G0400130040530,,,7.44262295082,6.69230769231,,,,,,,,,,,5.2,,12.0,,,7.54545454545,8.02040816327,6.54285714286,,,,,,11.626984127,,10.6171428571,,,,,,,6.57142857143,6.0,,,,5.63157894737,,,,,,10.3416149068,12.0,,,,,,,,,,,,,,,,,,,,,,,9.48387096774,,,,,,,,,,4.84615384615,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,8.02040816327,,,,,,,,,,,,,,,6.57142857143,,,,,,,,,8.82142857143,,5.85714285714,,,,,,,,,19.1666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
24,G0400130040531,3.0,,5.0,5.34959349593,,7.5,,5.35294117647,,,,,,7.17647058824,6.84375,8.41176470588,,3.0,6.21568627451,7.0,4.83216783217,6.30555555556,6.33333333333,9.83333333333,,,,7.45762711864,8.68333333333,6.56862745098,5.33333333333,,,,,5.65384615385,5.09411764706,7.90277777778,,,,5.65,7.75,5.33333333333,1.77777777778,8.75,,7.06481481481,3.15384615385,5.08,7.23404255319,,,,,,4.0,,,4.25,,5.58928571429,,5.57142857143,,5.78260869565,6.89473684211,3.0,,,4.75,6.75829383886,8.75,6.46666666667,1.77777777778,,,6.5,5.77551020408,,,,,7.5,3.15384615385,,,5.53846153846,7.91666666667,,7.83333333333,6.4,,,12.3333333333,,6.94117647059,,,6.02083333333,6.57983193277,9.0,,,,8.4,,,,,,8.2,8.53846153846,5.33333333333,,3.28571428571,,,4.57894736842,4.83216783217,,7.5,7.17647058824,,,,,,6.08333333333,6.08333333333,6.08333333333,6.08333333333,4.94444444444,,6.01298701299,,,,,,5.90909090909,,,6.36744639376,,5.9696969697,,,,,4.25,6.33333333333,,7.0,,,9.30769230769,4.99224806202,3.0,3.91111111111,6.70629370629,,,2.6,7.81481481481,,7.17647058824,,,,12.3333333333,,,,,,2.66666666667,,,4.66666666667,
25,G0400130050603,,,5.85714285714,,,,,,,,,,,4.45454545455,4.45454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,G0400130050604,,4.5,,,,,,,,,,,,,5.66666666667,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66666666667,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42857142857,,,,,,,,,,,,,,,,9.42857142857,,,,,,,,,,,,,,,,,,,,,
27,G0400130050605,,8.38636363636,,10.9302325581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.5,,,,,,,,,,9.38235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38235294118,,,,,,,,,,,,,,,,,,,10.9302325581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,G0400130050606,,,7.17073170732,5.0,,,,,8.33333333333,,,,,,14.5,,,,,,8.42592592593,,,,,,,,,,5.89285714286,,,,,,5.0,,,,,6.91836734694,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,6.69811320755,,14.5,,,,,4.0,,,,,,,,,,,,,,,,,,,,,8.42592592593,,,,,,,,,,,,,,,,,,8.33333333333,,8.42105263158,,,,,,,8.33333333333,4.66666666667,,4.66666666667,,4.66666666667,4.66666666667,,8.42592592593,,,,,,,,,7.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42592592593,,
29,G0400130050607,,,,,,,,,,,,,,,6.53333333333,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,2.66666666667,,,,,,,,,,6.0,,6.53333333333,,,,,,,,,,,,,,,,,,,,2.66666666667,2.66666666667,,,,,,,,,,,,,,,,,,,3.6875,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,3.47619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,
30,G0400130050608,,,4.66666666667,7.63541666667,,,,,,,,,,4.45454545455,6.14285714286,,,,7.85714285714,,5.64864864865,7.33333333333,,,,,,8.8813559322,6.81818181818,4.93333333333,,,,,,,,4.8,,,,7.42857142857,,5.0,,5.0,,6.11111111111,,3.54545454545,,,,,,7.61904761905,5.0,,,,,,,,,3.54545454545,4.90163934426,,,,,7.57971014493,,8.0,,,,,5.96551724138,,,,,,,,,,,,,3.75,,,,,7.42857142857,,,,,,7.25,,,,,,,,,,,7.33333333333,,3.54545454545,,,7.91666666667,5.64864864865,,,3.6,,,,,,6.33333333333,6.33333333333,6.33333333333,6.33333333333,7.68421052632,,5.61538461538,,,,,,,,,6.21568627451,,7.02941176471,,,,,,5.64705882353,,,,,,6.46153846154,,,,,,,,,3.6,,,,,,,14.0,,,7.9375,,,,
31,G0400130050609,,,,,,,,,,,,,5.90909090909,,5.90909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.42857142857,10.5,,,,4.0,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85714285714,,4.0,,,,,,,,,,,,,,,,,,4.66666666667,,,5.90909090909,,,,,2.8,,,,,,,,,
32,G0400130050610,,,,,,,,,,,,,,,5.0,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.36363636364,,,,,,,,,8.36363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,G0400130050611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66666666667,,,,,,,5.66666666667,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,G0400130050701,,1.5,,5.83333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33333333333,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,3.92307692308,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,G0400130050702,,,,8.86956521739,,,,,,,,,,,5.0,,,,8.58823529412,,,,,,,,,,,,7.25,,,,,,6.71428571429,,,,,8.86956521739,,,,,,,,,,,,,,,,,,,7.25,5.0,,,,,7.66666666667,,,,,8.62962962963,,5.0,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,6.71428571429,,,,,,,,,,,,,,5.22727272727,,,,,,,,,,,,,,,,,,,,,10.0322580645,,,,,,,,,7.84931506849,,8.86956521739,,,,,,,,,7.25,,,,,3.69230769231,,,,,,,,,,,,,,,,,,,,,
36,G0400130060801,,,6.28571428571,,,,,,,,,,4.0,5.0,8.6,,,,,7.18181818182,2.66666666667,9.27272727273,,,,,,,10.0666666667,3.81818181818,,,,,,,,,,,,,5.75,,,,,,,,,,,,2.1,,,8.63636363636,,,,9.96428571429,,,,3.2,3.1,5.0,,4.66666666667,4.66666666667,11.6666666667,,,,,,,,,,11.3636363636,,,2.1,,4.57142857143,,6.5,,,5.39130434783,4.8,9.96428571429,9.96428571429,,11.6666666667,,5.0,6.78571428571,,,,,,7.18181818182,,,,,,,,6.21212121212,,2.66666666667,,,,2.66666666667,,6.5,5.0,,,,,,,,,,5.5,,10.4736842105,,5.16666666667,5.16666666667,3.81818181818,,,,,6.69491525424,,,,,,,,3.92307692308,,,,,,2.66666666667,,,,,,,,,5.0,,,,,2.1,3.2,,,,5.5,,,,
37,G0400130060901,,7.66666666667,8.83333333333,,,1.2,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,3.0,,,,,,,,,,7.5,,7.66666666667,,,3.0,,,,,,,,7.66666666667,,,,,,,,10.6666666667,1.2,,,5.0,,,,,,,,,,,,,,,,,,,,,,8.57894736842,,,,,3.85714285714,,,,,,,,,,,,,,,,8.83673469388,,,,,,5.0,5.0,,8.77027027027,,,,,,,,5.64285714286,,,,,,,,,,11.5,5.875,,,,,,10.6666666667,7.66666666667,,,,,,,,,,,
38,G0400130060902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,3.6,,,,,,,,,,,,5.0,,,,3.6,,,,,,3.88461538462,,,,,,,3.88461538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47916666667,,,,,,,,,,,,,,,,,3.8,,3.8,,3.4,,,,,,,,,6.32673267327,,3.4,,,,,,3.6,,,,,,,,,,,,6.29090909091,,,,,,,,,,,,,,,,,
39,G0400130060903,,,,,,,,,,,,,,,,,,,,,,6.57142857143,,,,,,,,,,,,,,,,,,,,,,7.0,,7.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,7.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
